@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2}

@data
483,'2018/04/02 10:01:49:558',1,167.456894,1
484,'2018/04/02 10:01:49:591',1,167.57692,1
485,'2018/04/02 10:01:49:622',1,167.526108,1
486,'2018/04/02 10:01:49:655',1,167.74379,1
487,'2018/04/02 10:01:49:687',1,167.867676,1
488,'2018/04/02 10:01:49:722',1,168.152802,1
489,'2018/04/02 10:01:49:767',1,168.465958,1
490,'2018/04/02 10:01:49:800',1,168.848541,1
491,'2018/04/02 10:01:49:835',1,169.12355,1
492,'2018/04/02 10:01:49:864',1,169.961746,1
493,'2018/04/02 10:01:49:896',1,170.019974,1
494,'2018/04/02 10:01:49:926',1,169.876419,1
495,'2018/04/02 10:01:49:959',1,169.609207,1
496,'2018/04/02 10:01:49:991',1,169.701416,1
497,'2018/04/02 10:01:50:022',1,169.781769,1
498,'2018/04/02 10:01:50:055',1,171.321808,1
499,'2018/04/02 10:01:50:087',1,171.239136,1
500,'2018/04/02 10:01:50:120',1,171.23848,1
501,'2018/04/02 10:01:50:170',1,173.831451,1
502,'2018/04/02 10:01:50:200',1,174.314362,1
503,'2018/04/02 10:01:50:233',1,171.839127,1
